Description,Avg_Elasticity,Obs,Sensitivity
HEART OF WICKER SMALL,-22165.85635131729,3,Elastic (price-sensitive)
PLEASE ONE PERSON METAL SIGN,-21955.472849013484,6,Elastic (price-sensitive)
SET OF 3 CAKE TINS PANTRY DESIGN ,-14583.019184043424,4,Elastic (price-sensitive)
HEART OF WICKER LARGE,-13522.722440355683,4,Elastic (price-sensitive)
GREEN 3 PIECE MINI DOTS CUTLERY SET,-6160.057162099617,4,Elastic (price-sensitive)
ASSORTED COLOURS SILK FAN,-4321.050358780981,10,Elastic (price-sensitive)
POSY CANDY BAG,-3723.7251120650944,5,Elastic (price-sensitive)
LADIES & GENTLEMEN METAL SIGN,-3604.663768733363,9,Elastic (price-sensitive)
RED STRIPE CERAMIC DRAWER KNOB,-3345.330178232551,11,Elastic (price-sensitive)
DOOR MAT UNION FLAG,-3149.5769779931366,3,Elastic (price-sensitive)
EMPIRE DESIGN ROSETTE,-3105.126658507686,3,Elastic (price-sensitive)
PACK OF 12 TRADITIONAL CRAYONS,-2933.1697517423545,9,Elastic (price-sensitive)
WOODEN FRAME ANTIQUE WHITE ,-2597.9153412091487,15,Elastic (price-sensitive)
DOORMAT KEEP CALM AND COME IN,-2434.929624074478,7,Elastic (price-sensitive)
LARGE RED RETROSPOT WINDMILL,-2256.335286935291,4,Elastic (price-sensitive)
PACK OF 60 SPACEBOY CAKE CASES,-2186.357759493056,11,Elastic (price-sensitive)
GREEN CHRISTMAS TREE CARD HOLDER,-2126.2656523652186,5,Elastic (price-sensitive)
3 STRIPEY MICE FELTCRAFT,-2086.5459519676574,11,Elastic (price-sensitive)
HAND WARMER UNION JACK,-2078.0989822881934,4,Elastic (price-sensitive)
HOT WATER BOTTLE SEX BOMB,-1848.0396912419956,3,Elastic (price-sensitive)
STRAWBERRY   PICNIC BAG,-1731.1394859063805,7,Elastic (price-sensitive)
SAVE THE PLANET MUG,-1498.1129700080796,14,Elastic (price-sensitive)
CHRYSANTHEMUM POCKET BOOK ,-1434.0325721287663,4,Elastic (price-sensitive)
MINI JIGSAW LEAP FROG,-1424.1747619047603,5,Elastic (price-sensitive)
DOORMAT UNION JACK GUNS AND ROSES,-1319.7822716015908,12,Elastic (price-sensitive)
BOOM BOX SPEAKER BOYS,-1304.189518296621,5,Elastic (price-sensitive)
MINI CAKE STAND WITH HANGING CAKES,-1214.620643406318,14,Elastic (price-sensitive)
DOORMAT FRIENDSHIP ,-1147.6016468570351,3,Elastic (price-sensitive)
BLACK BIRD GARDEN DESIGN MUG,-1109.202338987784,3,Elastic (price-sensitive)
BLACK KITCHEN SCALES,-1109.0407002648885,6,Elastic (price-sensitive)
VINTAGE UNION JACK MEMOBOARD,-1062.3842211155966,17,Elastic (price-sensitive)
GIN + TONIC DIET METAL SIGN,-1032.0287822548914,8,Elastic (price-sensitive)
SMALL RED RETROSPOT WINDMILL,-1002.4229622174456,9,Elastic (price-sensitive)
CERAMIC LOVE HEART MONEY BANK,-949.2479029304761,8,Elastic (price-sensitive)
RED HANGING METAL STAR TLIGHT HLDR,-929.5748031821155,7,Elastic (price-sensitive)
UNION FLAG WINDSOCK,-921.2630325098417,9,Elastic (price-sensitive)
